Date,Open,High,Low,Close,Volume
05/27/2022,"417.55","436.75","417.55","431.45","4,336"
05/26/2022,"423.60","428.00","406.05","420.85","9,515"
05/25/2022,"442.80","452.70","420.70","424.75","8,712"
05/24/2022,"465.00","469.95","438.45","442.80","6,944"
05/23/2022,"440.00","473.70","440.00","461.50","10,560"
05/20/2022,"459.00","463.00","449.20","452.20","8,085"
05/19/2022,"467.85","467.85","444.50","446.80","12,140"
05/18/2022,"485.00","487.10","461.40","467.85","21,214"
05/17/2022,"484.95","491.40","465.05","485.65","18,047"
05/16/2022,"467.50","468.00","457.00","468.00","8,130"
05/13/2022,"436.20","445.75","432.15","445.75","7,141"
05/12/2022,"415.10","425.10","409.15","424.55","16,255"
05/11/2022,"388.10","418.00","383.25","404.90","17,885"
05/10/2022,"411.25","420.55","403.40","403.40","10,553"
05/09/2022,"426.50","441.70","424.40","424.60","17,142"
05/06/2022,"447.20","462.85","445.50","446.70","20,234"
05/05/2022,"477.00","485.75","468.90","468.90","7,497"
05/04/2022,"493.55","502.85","493.55","493.55","11,587"
05/02/2022,"526.00","531.90","515.00","519.50","12,107"
04/29/2022,"523.00","533.80","516.55","529.05","6,300"
04/28/2022,"554.00","554.00","526.60","530.40","6,117"
04/27/2022,"537.00","556.90","520.00","531.65","5,836"
04/26/2022,"552.00","566.20","535.55","543.65","19,199"
04/25/2022,"530.05","554.00","519.65","547.30","27,304"
04/22/2022,"538.00","538.00","514.80","528.55","13,632"
04/21/2022,"517.10","524.95","513.25","516.10","6,201"
04/20/2022,"528.90","528.90","508.75","513.90","11,357"
04/19/2022,"537.65","540.20","512.75","518.40","18,824"
04/18/2022,"508.10","534.05","508.10","514.50","11,256"
04/13/2022,"559.00","559.00","518.05","530.55","12,559"
04/12/2022,"525.00","552.30","514.10","544.25","22,683"
04/11/2022,"541.70","541.70","524.70","526.30","7,441"
04/08/2022,"530.55","549.00","528.35","531.05","5,275"
04/07/2022,"553.00","553.00","525.00","530.00","4,939"
04/06/2022,"539.25","542.50","533.45","535.70","2,387"
04/05/2022,"559.00","559.00","533.60","539.95","7,294"
04/04/2022,"550.00","557.85","538.00","545.85","10,047"
04/01/2022,"570.70","573.95","532.15","541.90","6,216"
03/31/2022,"550.00","583.25","528.15","553.75","45,359"
03/30/2022,"555.50","555.50","537.00","555.50","7,511"
03/29/2022,"523.00","529.05","505.95","529.05","13,444"
03/28/2022,"494.95","504.00","472.85","503.90","13,249"
03/25/2022,"467.50","480.00","453.35","480.00","7,501"
03/24/2022,"430.00","457.15","430.00","457.15","4,874"
03/23/2022,"447.00","447.80","434.00","435.40","11,921"
03/22/2022,"455.75","455.75","438.00","442.00","4,092"
03/21/2022,"464.95","464.95","445.40","448.45","4,940"
03/17/2022,"475.00","475.00","450.00","457.05","5,671"
03/16/2022,"465.80","468.95","453.00","459.40","18,476"
03/15/2022,"469.95","472.00","446.10","452.55","6,834"
03/14/2022,"467.65","470.05","456.90","461.90","9,412"
03/11/2022,"435.80","460.00","435.80","453.85","9,535"
03/10/2022,"446.90","449.55","424.10","438.85","7,932"
03/09/2022,"417.00","428.50","415.60","428.15","10,230"
03/08/2022,"406.50","415.95","392.85","408.10","2,718"
03/07/2022,"405.00","408.00","400.60","402.60","11,015"
03/04/2022,"413.00","430.15","403.45","421.65","15,477"
03/03/2022,"408.00","419.65","402.60","418.35","24,419"
03/02/2022,"422.00","425.65","393.10","399.70","17,175"
02/28/2022,"398.00","409.35","377.10","409.35","11,571"
02/25/2022,"362.00","389.90","362.00","389.90","12,558"
02/24/2022,"376.05","378.85","371.35","371.35","6,535"
02/23/2022,"383.80","401.20","382.90","390.85","8,279"
02/22/2022,"391.10","398.75","391.10","391.20","16,233"
02/21/2022,"421.05","430.15","411.65","411.65","15,696"
02/18/2022,"433.55","443.95","430.00","433.30","3,379"
02/17/2022,"463.70","463.70","438.00","439.00","3,771"
02/16/2022,"444.00","449.80","437.40","447.90","16,787"
02/15/2022,"445.00","447.00","422.00","428.40","9,074"
02/14/2022,"440.00","459.15","436.30","436.95","17,503"
02/11/2022,"427.00","465.00","427.00","459.25","18,384"
02/10/2022,"458.65","461.40","440.00","445.00","11,209"
02/09/2022,"462.40","475.00","456.80","460.25","12,330"
02/08/2022,"456.50","478.55","444.75","452.40","22,865"
02/07/2022,"506.95","506.95","464.00","468.15","17,208"
02/04/2022,"497.70","497.70","472.00","487.45","6,094"
02/03/2022,"512.00","512.00","475.00","477.85","16,803"
02/02/2022,"469.30","494.80","462.20","494.80","17,583"
02/01/2022,"510.00","510.00","471.25","471.25","22,459"
01/31/2022,"524.15","524.15","485.00","496.05","84,467"
01/28/2022,"490.00","499.20","484.80","499.20","34,970"
01/27/2022,"463.95","475.45","453.10","475.45","32,351"
01/25/2022,"430.00","452.85","410.00","452.85","23,325"
01/24/2022,"464.80","464.80","427.70","431.30","13,206"
01/21/2022,"465.10","469.60","446.55","450.20","12,090"
01/20/2022,"465.00","473.50","459.70","470.05","19,857"
01/19/2022,"479.80","479.80","438.55","451.05","42,041"
01/18/2022,"477.25","477.25","453.05","461.60","79,490"
01/17/2022,"454.55","454.55","454.55","454.55","25,355"
01/14/2022,"424.80","432.95","406.40","432.95","12,044"
01/13/2022,"419.80","419.80","390.60","412.35","26,732"
01/12/2022,"396.00","413.75","375.30","407.65","41,193"
01/11/2022,"436.55","436.55","395.05","395.05","19,857"
01/10/2022,"415.80","415.80","399.75","415.80","16,435"
01/07/2022,"396.00","396.00","395.00","396.00","2,256"
01/06/2022,"377.00","377.15","365.00","377.15","20,170"
01/05/2022,"350.40","359.20","350.40","359.20","6,763"
01/04/2022,"329.20","342.10","323.25","342.10","11,508"
01/03/2022,"330.95","330.95","317.10","325.85","10,118"
12/31/2021,"323.95","323.95","311.85","323.45","22,777"
12/30/2021,"321.40","324.15","311.90","321.65","66,345"
12/29/2021,"321.10","334.80","308.75","308.75","10,856"
12/28/2021,"348.60","348.60","321.20","325.00","16,216"
12/27/2021,"326.90","334.20","324.00","334.20","24,867"
12/24/2021,"311.70","318.30","303.60","318.30","16,287"
12/23/2021,"297.10","303.15","283.20","303.15","25,832"
12/22/2021,"304.50","308.70","285.55","288.75","16,956"
12/21/2021,"295.00","299.00","285.45","295.70","5,727"
12/20/2021,"309.00","309.00","285.35","285.35","17,770"
12/17/2021,"297.90","300.35","288.00","300.35","7,530"
